quad results,zscore results
romance,romance
family,family
adventure,adventure
documentary,documentary
thriller,musical
musical,history
history,thriller
drama,drama
sport,comedy
comedy,sport
music,music
mystery,mystery
crime,crime
western,western
biography,animation
horror,biography
war,horror
action,war
fantasy,action
animation,fantasy
sci-fi,sci-fi
