-1.0914e-11-1.8904e+05i,-1.0914e-11+1.8904e+05i,2.0464e-12-77843i,2.0464e-12+77843i,2.7285e-12-34081i,2.7285e-12+34081i,5.6843e-14-28268i,5.6843e-14+28268i,0-16047i,0+16047i,1.0232e-12-10302i,1.0232e-12+10302i,-9.6634e-13-3946.3i,-9.6634e-13+3946.3i,-2.1032e-12-1397.3i,-2.1032e-12+1397.3i
9.0949e-13-73957i,9.0949e-13+73957i,1.6979e-72-60911i,1.6979e-72+60911i,1.4211e-13-39013i,1.4211e-13+39013i,0-21546i,0+21546i,0-15090i,0+15090i,2.5011e-12-12572i,2.5011e-12+12572i,-3.6948e-13-1928i,-3.6948e-13+1928i,-2.9559e-12-8449.3i,-2.9559e-12+8449.3i
-1.1369e-12-1.029e+05i,-1.1369e-12+1.029e+05i,-2.7285e-12-61896i,-2.7285e-12+61896i,-2.9559e-12-43571i,-2.9559e-12+43571i,-1.7441e-105-31573i,-1.7441e-105+31573i,-1.3642e-12-23044i,-1.3642e-12+23044i,3.1832e-12-14796i,3.1832e-12+14796i,9.0949e-13-9907.6i,9.0949e-13+9907.6i,-1.1084e-12-2283.8i,-1.1084e-12+2283.8i
-3.638e-12-78427i,-3.638e-12+78427i,3.638e-12-42304i,3.638e-12+42304i,-1.819e-12-27969i,-1.819e-12+27969i,-1.3642e-12-24355i,-1.3642e-12+24355i,1.819e-12-20384i,1.819e-12+20384i,-1.08e-12-2248.1i,-1.08e-12+2248.1i,0-8659.6i,0+8659.6i,-2.7285e-12-7000.5i,-2.7285e-12+7000.5i
-4.9738e-13-84984i,-4.9738e-13+84984i,7.9581e-13-43233i,7.9581e-13+43233i,-1.3642e-12-36910i,-1.3642e-12+36910i,0-24529i,0+24529i,6.2528e-13-12233i,6.2528e-13+12233i,-2.2737e-12-9787.2i,-2.2737e-12+9787.2i,-1.1653e-12-960.32i,-1.1653e-12+960.32i,1.1369e-13-3686.5i,1.1369e-13+3686.5i
-3.638e-12-1.3325e+05i,-3.638e-12+1.3325e+05i,4.5475e-13-57384i,4.5475e-13+57384i,-1.819e-12-44461i,-1.819e-12+44461i,2.0464e-12-29794i,2.0464e-12+29794i,0-17856i,0+17856i,3.4106e-13-10326i,3.4106e-13+10326i,-4.2988e-13-8098.7i,-4.2988e-13+8098.7i,-5.6843e-13-3007.2i,-5.6843e-13+3007.2i
1.5632e-12-84106i,1.5632e-12+84106i,-1.4779e-12-46243i,-1.4779e-12+46243i,3.638e-12-36323i,3.638e-12+36323i,-2.7285e-12-26488i,-2.7285e-12+26488i,0-19841i,0+19841i,-2.2737e-13-9855.5i,-2.2737e-13+9855.5i,-2.3093e-12-6035.9i,-2.3093e-12+6035.9i,2.558e-13-1760.7i,2.558e-13+1760.7i
5.9117e-12-1.2718e+05i,5.9117e-12+1.2718e+05i,7.9581e-13-51848i,7.9581e-13+51848i,9.0949e-13-47920i,9.0949e-13+47920i,-2.7285e-12-27827i,-2.7285e-12+27827i,-2.8848e-12-17990i,-2.8848e-12+17990i,8.5265e-13-11511i,8.5265e-13+11511i,-6.8212e-13-4040.2i,-6.8212e-13+4040.2i,-5.6843e-14-943.85i,-5.6843e-14+943.85i
-4.5475e-13-17154i,-4.5475e-13+17154i,8.4078e-45-10320i,8.4078e-45+10320i,-2.8422e-14-5330.2i,-2.8422e-14+5330.2i,-2.9132e-13-2020i,-2.9132e-13+2020i,1.3833e-13-1107.7i,1.3833e-13+1107.7i,-1.0747e-13-637.4i,-1.0747e-13+637.4i,1.5632e-13-401.8i,1.5632e-13+401.8i,-1.3545e-13-19.096i,-1.3545e-13+19.096i
2.8422e-13-16387i,2.8422e-13+16387i,1.6868e-79-9448.9i,1.6868e-79+9448.9i,-1.1369e-13-4052.6i,-1.1369e-13+4052.6i,2.3981e-13-1607.1i,2.3981e-13+1607.1i,-1.5632e-13-938.85i,-1.5632e-13+938.85i,7.1054e-14-689.75i,7.1054e-14+689.75i,-5.1514e-14-63.237i,-5.1514e-14+63.237i,-1.2079e-13-276.93i,-1.2079e-13+276.93i
