-1.1369e-12-85164i,-1.1369e-12+85164i,-1.2235e-54-68823i,-1.2235e-54+68823i,-6.8212e-13-45716i,-6.8212e-13+45716i,0-31241i,0+31241i,9.0949e-13-20396i,9.0949e-13+20396i,6.8212e-13-12568i,6.8212e-13+12568i,9.0949e-13-6305i,9.0949e-13+6305i,2.9919e-12
-7.276e-12-99576i,-7.276e-12+99576i,-6.6273e-56-76166i,-6.6273e-56+76166i,0-53924i,0+53924i,-9.6634e-13-37833i,-9.6634e-13+37833i,-9.0949e-13-29111i,-9.0949e-13+29111i,0-13238i,0+13238i,-1.7173e-13,3.4106e-13-3914.6i,3.4106e-13+3914.6i
1.3216e-12-1.3421e+05i,1.3216e-12+1.3421e+05i,-1.819e-12-94020i,-1.819e-12+94020i,1.819e-12-54038i,1.819e-12+54038i,-5.6843e-13-32923i,-5.6843e-13+32923i,2.7285e-12-28106i,2.7285e-12+28106i,-4.1926e-12,-1.3642e-12-12776i,-1.3642e-12+12776i,1.819e-12-19699i,1.819e-12+19699i
-3.3538e-12-96656i,-3.3538e-12+96656i,9.0949e-13-65590i,9.0949e-13+65590i,1.5632e-12-43901i,1.5632e-12+43901i,9.0949e-13-35568i,9.0949e-13+35568i,-3.638e-12-26121i,-3.638e-12+26121i,2.8971e-12,4.5475e-13-12764i,4.5475e-13+12764i,-2.9559e-12-10406i,-2.9559e-12+10406i
2.5011e-12-97694i,2.5011e-12+97694i,-1.819e-12-58185i,-1.819e-12+58185i,-1.819e-12-41784i,-1.819e-12+41784i,9.0949e-13-31407i,9.0949e-13+31407i,1.3642e-12-24561i,1.3642e-12+24561i,-2.0464e-12-17501i,-2.0464e-12+17501i,1.3642e-12-8790.3i,1.3642e-12+8790.3i,1.8282e-12
0-1.1017e+05i,0+1.1017e+05i,5.5271e-75-81278i,5.5271e-75+81278i,-5.0022e-12-37382i,-5.0022e-12+37382i,-9.9339e-13,-1.3642e-12-9613.6i,-1.3642e-12+9613.6i,6.8212e-13-23228i,6.8212e-13+23228i,1.4779e-12-19019i,1.4779e-12+19019i,-4.5475e-12-20152i,-4.5475e-12+20152i
4.5475e-13-96111i,4.5475e-13+96111i,-5.5138e-12-66143i,-5.5138e-12+66143i,-1.819e-12-52015i,-1.819e-12+52015i,9.0949e-13-31384i,9.0949e-13+31384i,-2.7285e-12-24645i,-2.7285e-12+24645i,6.8212e-13-12471i,6.8212e-13+12471i,6.1209e-13,1.0232e-12-6851.6i,1.0232e-12+6851.6i
-5.258e-12-89368i,-5.258e-12+89368i,3.4106e-13-61584i,3.4106e-13+61584i,1.1369e-12-51093i,1.1369e-12+51093i,-4.9738e-12-40333i,-4.9738e-12+40333i,1.819e-12-20300i,1.819e-12+20300i,1.7621e-12-13845i,1.7621e-12+13845i,-2.9282e-12,-1.7053e-12-9076.3i,-1.7053e-12+9076.3i
-3.638e-12-1.6572e+05i,-3.638e-12+1.6572e+05i,3.638e-12-1.1989e+05i,3.638e-12+1.1989e+05i,0-53980i,0+53980i,1.5916e-12-40884i,1.5916e-12+40884i,0-23097i,0+23097i,-4.5901e-12-17201i,-4.5901e-12+17201i,6.8212e-13-5689.6i,6.8212e-13+5689.6i,5.3273e-12
-3.638e-12-1.484e+05i,-3.638e-12+1.484e+05i,1.5916e-12-1.042e+05i,1.5916e-12+1.042e+05i,-1.819e-12-61882i,-1.819e-12+61882i,3.638e-12-42120i,3.638e-12+42120i,-1.819e-12-29116i,-1.819e-12+29116i,1.3642e-12-17020i,1.3642e-12+17020i,1.8386e-12,1.5916e-12-9452.3i,1.5916e-12+9452.3i
-3.4106e-13-95593i,-3.4106e-13+95593i,-4.3201e-12-73818i,-4.3201e-12+73818i,-3.4106e-13-49420i,-3.4106e-13+49420i,2.3306e-12-35634i,2.3306e-12+35634i,0-22834i,0+22834i,0-18218i,0+18218i,3.2984e-12,4.7748e-12-10633i,4.7748e-12+10633i
4.5475e-13-93538i,4.5475e-13+93538i,4.0965e-97-82002i,4.0965e-97+82002i,-3.2045e-12-57006i,-3.2045e-12+57006i,0-43899i,0+43899i,-2.7285e-12-25904i,-2.7285e-12+25904i,-9.113e-13,-2.2737e-13-18330i,-2.2737e-13+18330i,2.2737e-13-12260i,2.2737e-13+12260i
6.3665e-12-1.4923e+05i,6.3665e-12+1.4923e+05i,-8.1855e-12-83712i,-8.1855e-12+83712i,-3.638e-12-61693i,-3.638e-12+61693i,-2.7285e-12-41529i,-2.7285e-12+41529i,2.8706e-12-25424i,2.8706e-12+25424i,-2.2737e-13-16126i,-2.2737e-13+16126i,5.4012e-12,-3.7517e-12-6870.7i,-3.7517e-12+6870.7i
0-1.45e+05i,0+1.45e+05i,3.638e-12-82350i,3.638e-12+82350i,-2.7285e-12-59159i,-2.7285e-12+59159i,-1.819e-12-38327i,-1.819e-12+38327i,-4.6612e-12-29671i,-4.6612e-12+29671i,3.6948e-12-12569i,3.6948e-12+12569i,2.2737e-13-6496.5i,2.2737e-13+6496.5i,1.756e-12
