-8.7311e-11-1.1803e+06i,-8.7311e-11+1.1803e+06i,1.4552e-11-6.0048e+05i,1.4552e-11+6.0048e+05i,2.7285e-12-2.1684e+05i,2.7285e-12+2.1684e+05i,2.7285e-12-1.1882e+05i,2.7285e-12+1.1882e+05i,-2.7285e-12-41792i,-2.7285e-12+41792i,-9.8339e-12-11895i,-9.8339e-12+11895i,5.0022e-12-10022i,5.0022e-12+10022i,1.9071e-11-2951.2i,1.9071e-11+2951.2i
2.4556e-11-9.6717e+05i,2.4556e-11+9.6717e+05i,-6.8212e-12-5.7066e+05i,-6.8212e-12+5.7066e+05i,1.8986e-11-3.0195e+05i,1.8986e-11+3.0195e+05i,-7.8444e-12-1.6611e+05i,-7.8444e-12+1.6611e+05i,7.276e-12-1.0939e+05i,7.276e-12+1.0939e+05i,0-33867i,0+33867i,-7.276e-12-12788i,-7.276e-12+12788i,-1.1369e-12-2042.1i,-1.1369e-12+2042.1i
-2.1828e-11-8.2217e+05i,-2.1828e-11+8.2217e+05i,2.8004e-60-5.4373e+05i,2.8004e-60+5.4373e+05i,-1.3642e-11-2.7213e+05i,-1.3642e-11+2.7213e+05i,-7.276e-12-1.3538e+05i,-7.276e-12+1.3538e+05i,1.6712e-11-88019i,1.6712e-11+88019i,-1.5461e-11-33527i,-1.5461e-11+33527i,-1.4097e-11-11687i,-1.4097e-11+11687i,-1.4523e-11-872.48i,-1.4523e-11+872.48i
3.638e-12-8.1296e+05i,3.638e-12+8.1296e+05i,-4.7793e-57-5.7665e+05i,-4.7793e-57+5.7665e+05i,2.9104e-11-3.1126e+05i,2.9104e-11+3.1126e+05i,7.276e-12-1.3559e+05i,7.276e-12+1.3559e+05i,-6.3665e-12-1.0353e+05i,-6.3665e-12+1.0353e+05i,4.5475e-13-33859i,4.5475e-13+33859i,2.5466e-11-14252i,2.5466e-11+14252i,8.0149e-12-1256.4i,8.0149e-12+1256.4i
1.0914e-11-9.3631e+05i,1.0914e-11+9.3631e+05i,-8.6402e-12-4.6625e+05i,-8.6402e-12+4.6625e+05i,2.7677e-108-2.8569e+05i,2.7677e-108+2.8569e+05i,-7.7307e-12-1.5032e+05i,-7.7307e-12+1.5032e+05i,1.2733e-11-95797i,1.2733e-11+95797i,7.3328e-12-28614i,7.3328e-12+28614i,1.0004e-11-11159i,1.0004e-11+11159i,-6.0538e-12-915.61i,-6.0538e-12+915.61i
-7.8217e-11-9.6534e+05i,-7.8217e-11+9.6534e+05i,0-5.6156e+05i,0+5.6156e+05i,8.1855e-12-2.4492e+05i,8.1855e-12+2.4492e+05i,7.276e-12-1.9819e+05i,7.276e-12+1.9819e+05i,-1.0914e-11-79971i,-1.0914e-11+79971i,0-29997i,0+29997i,-3.547e-11-11864i,-3.547e-11+11864i,9.5497e-12-4350.1i,9.5497e-12+4350.1i
-1.4552e-11-1.0895e+06i,-1.4552e-11+1.0895e+06i,0-8.1483e+05i,0+8.1483e+05i,2.0009e-11-1.8475e+05i,2.0009e-11+1.8475e+05i,3.638e-11-1.1941e+05i,3.638e-11+1.1941e+05i,-1.9099e-11-48836i,-1.9099e-11+48836i,1.819e-12-23840i,1.819e-12+23840i,3.1832e-12-15693i,3.1832e-12+15693i,1.7053e-12-3436.9i,1.7053e-12+3436.9i
2.0918e-11-1.0026e+06i,2.0918e-11+1.0026e+06i,0-6.2556e+05i,0+6.2556e+05i,1.0914e-11-1.6279e+05i,1.0914e-11+1.6279e+05i,-1.4552e-11-94653i,-1.4552e-11+94653i,-1.4097e-11-64965i,-1.4097e-11+64965i,9.0949e-13-37359i,9.0949e-13+37359i,-2.3192e-11-13722i,-2.3192e-11+13722i,1.8872e-11-2967.7i,1.8872e-11+2967.7i
2.7285e-12-6.8955e+05i,2.7285e-12+6.8955e+05i,5.8208e-11-5.996e+05i,5.8208e-11+5.996e+05i,1.4552e-11-1.5017e+05i,1.4552e-11+1.5017e+05i,-1.819e-11-82817i,-1.819e-11+82817i,-1.0914e-11-49109i,-1.0914e-11+49109i,7.276e-12-34807i,7.276e-12+34807i,4.0927e-12-3728.8i,4.0927e-12+3728.8i,1.1596e-11-7496.1i,1.1596e-11+7496.1i
1.4552e-11-8.4176e+05i,1.4552e-11+8.4176e+05i,-2.683e-11-4.9185e+05i,-2.683e-11+4.9185e+05i,-2.1828e-11-2.3442e+05i,-2.1828e-11+2.3442e+05i,1.2733e-11-1.3634e+05i,1.2733e-11+1.3634e+05i,-1.819e-11-61072i,-1.819e-11+61072i,2.2737e-12-33337i,2.2737e-12+33337i,9.5497e-12-17188i,9.5497e-12+17188i,1.9028e-11-1908.3i,1.9028e-11+1908.3i
1.0914e-11-9.6807e+05i,1.0914e-11+9.6807e+05i,-1.4552e-11-5.1862e+05i,-1.4552e-11+5.1862e+05i,0-2.3012e+05i,0+2.3012e+05i,5.457e-12-1.5815e+05i,5.457e-12+1.5815e+05i,2.0009e-11-53346i,2.0009e-11+53346i,9.0949e-13-38298i,9.0949e-13+38298i,-1.0459e-11-6233.4i,-1.0459e-11+6233.4i,-1.8758e-12-2551.9i,-1.8758e-12+2551.9i
-2.0009e-11-9.8885e+05i,-2.0009e-11+9.8885e+05i,-5.8208e-11-5.0189e+05i,-5.8208e-11+5.0189e+05i,2.1828e-11-2.5361e+05i,2.1828e-11+2.5361e+05i,0-1.2745e+05i,0+1.2745e+05i,-1.2733e-11-60698i,-1.2733e-11+60698i,9.0949e-12-51691i,9.0949e-12+51691i,-1.5461e-11-17678i,-1.5461e-11+17678i,-3.7232e-12-551.78i,-3.7232e-12+551.78i
2.1828e-11-8.7296e+05i,2.1828e-11+8.7296e+05i,-5.8208e-11-5.9691e+05i,-5.8208e-11+5.9691e+05i,6.1959e-12-2.0907e+05i,6.1959e-12+2.0907e+05i,1.819e-11-1.0512e+05i,1.819e-11+1.0512e+05i,-1.5007e-11-92586i,-1.5007e-11+92586i,6.3665e-12-21919i,6.3665e-12+21919i,2.0293e-11-5585.6i,2.0293e-11+5585.6i,-6.6587e-12-432.03i,-6.6587e-12+432.03i
2.9104e-11-8.7547e+05i,2.9104e-11+8.7547e+05i,1.4552e-11-5.9996e+05i,1.4552e-11+5.9996e+05i,2.9104e-11-3.5171e+05i,2.9104e-11+3.5171e+05i,-1.0004e-11-1.6524e+05i,-1.0004e-11+1.6524e+05i,-3.979e-13-84318i,-3.979e-13+84318i,1.0459e-11-24887i,1.0459e-11+24887i,-1.7963e-11-9073i,-1.7963e-11+9073i,1.4779e-12-1174.3i,1.4779e-12+1174.3i
-4.3656e-11-9.4764e+05i,-4.3656e-11+9.4764e+05i,0-5.9883e+05i,0+5.9883e+05i,-1.0914e-11-3.0823e+05i,-1.0914e-11+3.0823e+05i,9.0949e-12-1.514e+05i,9.0949e-12+1.514e+05i,-1.0914e-11-88418i,-1.0914e-11+88418i,-1.3188e-11-24848i,-1.3188e-11+24848i,-6.7644e-12-8459.5i,-6.7644e-12+8459.5i,-1.2474e-11-68.905i,-1.2474e-11+68.905i
-1.3188e-11-1.442e+05i,-1.3188e-11+1.442e+05i,6.8212e-13-90080i,6.8212e-13+90080i,1.3642e-12-38850i,1.3642e-12+38850i,1.819e-12-22533i,1.819e-12+22533i,3.7517e-12-10161i,3.7517e-12+10161i,2.2737e-12-5626.3i,2.2737e-12+5626.3i,-4.2633e-14-1297.6i,-4.2633e-14+1297.6i,9.166e-13-208.88i,9.166e-13+208.88i
1.0914e-11-3.5477e+05i,1.0914e-11+3.5477e+05i,4.0927e-12-2.0509e+05i,4.0927e-12+2.0509e+05i,1.1596e-11-1.3196e+05i,1.1596e-11+1.3196e+05i,0-80642i,0+80642i,8.1855e-12-49660i,8.1855e-12+49660i,3.8654e-12-16789i,3.8654e-12+16789i,2.2737e-13-7111.9i,2.2737e-13+7111.9i,-6.1391e-12-1640.9i,-6.1391e-12+1640.9i
-5.457e-12-9.8259e+05i,-5.457e-12+9.8259e+05i,-2.1828e-11-7.0715e+05i,-2.1828e-11+7.0715e+05i,-2.1828e-11-2.1547e+05i,-2.1828e-11+2.1547e+05i,1.5007e-11-1.4471e+05i,1.5007e-11+1.4471e+05i,-5.457e-12-62834i,-5.457e-12+62834i,-8.1855e-12-37411i,-8.1855e-12+37411i,-8.0718e-12-7587.1i,-8.0718e-12+7587.1i,1.009e-11-453.69i,1.009e-11+453.69i
-3.2742e-11-1.0058e+06i,-3.2742e-11+1.0058e+06i,7.276e-12-7.1292e+05i,7.276e-12+7.1292e+05i,-1.0914e-11-2.0445e+05i,-1.0914e-11+2.0445e+05i,-7.276e-12-1.3593e+05i,-7.276e-12+1.3593e+05i,1.819e-11-45344i,1.819e-11+45344i,-9.5497e-12-30829i,-9.5497e-12+30829i,-1.2392e-11-10829i,-1.2392e-11+10829i,-5.2722e-12-753.84i,-5.2722e-12+753.84i
-2.9104e-11-1.0392e+06i,-2.9104e-11+1.0392e+06i,7.276e-12-7.9337e+05i,7.276e-12+7.9337e+05i,2.7512e-11-2.0749e+05i,2.7512e-11+2.0749e+05i,-2.5466e-11-1.2458e+05i,-2.5466e-11+1.2458e+05i,2.0009e-11-44657i,2.0009e-11+44657i,-1.8076e-11-33982i,-1.8076e-11+33982i,9.2655e-12-1061.4i,9.2655e-12+1061.4i,5.798e-12-13725i,5.798e-12+13725i
-7.276e-12-1.033e+06i,-7.276e-12+1.033e+06i,7.276e-12-6.1281e+05i,7.276e-12+6.1281e+05i,-7.276e-12-2.2049e+05i,-7.276e-12+2.2049e+05i,8.1855e-12-1.7355e+05i,8.1855e-12+1.7355e+05i,-3.3538e-11-48783i,-3.3538e-11+48783i,-5.457e-12-40245i,-5.457e-12+40245i,1.5916e-12-14935i,1.5916e-12+14935i,1.8886e-11-421.79i,1.8886e-11+421.79i
2.1828e-11-9.7028e+05i,2.1828e-11+9.7028e+05i,-8.6402e-12-7.6621e+05i,-8.6402e-12+7.6621e+05i,-7.276e-12-2.4584e+05i,-7.276e-12+2.4584e+05i,-1.0914e-11-1.4779e+05i,-1.0914e-11+1.4779e+05i,8.6402e-12-60344i,8.6402e-12+60344i,-3.638e-11-34119i,-3.638e-11+34119i,-4.0927e-12-15582i,-4.0927e-12+15582i,-4.6754e-12-700.29i,-4.6754e-12+700.29i
1.4552e-11-7.9073e+05i,1.4552e-11+7.9073e+05i,-4.5475e-12-4.2151e+05i,-4.5475e-12+4.2151e+05i,-1.819e-12-2.0381e+05i,-1.819e-12+2.0381e+05i,0-1.5134e+05i,0+1.5134e+05i,6.3665e-12-49789i,6.3665e-12+49789i,-9.0949e-12-41768i,-9.0949e-12+41768i,1.8645e-11-13476i,1.8645e-11+13476i,-2.3874e-12-2586.9i,-2.3874e-12+2586.9i
-5.457e-11-1.17e+06i,-5.457e-11+1.17e+06i,5.8208e-11-9.7448e+05i,5.8208e-11+9.7448e+05i,-5.9117e-12-2.3969e+05i,-5.9117e-12+2.3969e+05i,-7.276e-12-1.1762e+05i,-7.276e-12+1.1762e+05i,-2.8649e-11-64776i,-2.8649e-11+64776i,-2.16e-11-32826i,-2.16e-11+32826i,-1.1369e-11-17881i,-1.1369e-11+17881i,1.1255e-11-1463.7i,1.1255e-11+1463.7i
4.3656e-11-1.2885e+06i,4.3656e-11+1.2885e+06i,-8.0036e-11-8.2312e+05i,-8.0036e-11+8.2312e+05i,1.4552e-11-2.8704e+05i,1.4552e-11+2.8704e+05i,-7.276e-12-1.2552e+05i,-7.276e-12+1.2552e+05i,1.819e-12-64882i,1.819e-12+64882i,3.638e-12-34196i,3.638e-12+34196i,-2.2709e-11-1581.4i,-2.2709e-11+1581.4i,-1.6939e-11-4406.3i,-1.6939e-11+4406.3i
-3.0923e-11-1.1143e+06i,-3.0923e-11+1.1143e+06i,-2.9104e-11-7.263e+05i,-2.9104e-11+7.263e+05i,0-2.4022e+05i,0+2.4022e+05i,4.3656e-11-1.0461e+05i,4.3656e-11+1.0461e+05i,-1.819e-11-61402i,-1.819e-11+61402i,5.0022e-12-28663i,5.0022e-12+28663i,1.6854e-11-6268.7i,1.6854e-11+6268.7i,-9.1447e-12-33.685i,-9.1447e-12+33.685i
7.276e-12-1.0012e+06i,7.276e-12+1.0012e+06i,-1.819e-11-7.3794e+05i,-1.819e-11+7.3794e+05i,0-1.9947e+05i,0+1.9947e+05i,-1.819e-12-1.0982e+05i,-1.819e-12+1.0982e+05i,6.3665e-12-70866i,6.3665e-12+70866i,2.7285e-12-25976i,2.7285e-12+25976i,2.4784e-11-6889.7i,2.4784e-11+6889.7i,1.6794e-11-1445.6i,1.6794e-11+1445.6i
3.7517e-12-7.1218e+05i,3.7517e-12+7.1218e+05i,2.1828e-11-5.9395e+05i,2.1828e-11+5.9395e+05i,-1.819e-11-1.5013e+05i,-1.819e-11+1.5013e+05i,-7.276e-12-1.1403e+05i,-7.276e-12+1.1403e+05i,-1.819e-11-58984i,-1.819e-11+58984i,2.3874e-12-30680i,2.3874e-12+30680i,1.2733e-11-19338i,1.2733e-11+19338i,2.2737e-13-4397.4i,2.2737e-13+4397.4i
-1.0004e-11-6.0039e+05i,-1.0004e-11+6.0039e+05i,-1.3642e-11-2.6115e+05i,-1.3642e-11+2.6115e+05i,-7.276e-12-1.1584e+05i,-7.276e-12+1.1584e+05i,8.6402e-12-62559i,8.6402e-12+62559i,7.1853e-75-36998i,7.1853e-75+36998i,2.7285e-12-27098i,2.7285e-12+27098i,-1.2278e-11-12850i,-1.2278e-11+12850i,3.979e-13-1701.3i,3.979e-13+1701.3i
-4.4565e-11-1.1254e+06i,-4.4565e-11+1.1254e+06i,0-6.0663e+05i,0+6.0663e+05i,4.6839e-11-1.9909e+05i,4.6839e-11+1.9909e+05i,3.8654e-12-1.1662e+05i,3.8654e-12+1.1662e+05i,-7.276e-12-84755i,-7.276e-12+84755i,1.5916e-11-32623i,1.5916e-11+32623i,-8.6402e-12-10183i,-8.6402e-12+10183i,-1.2278e-11-3927.4i,-1.2278e-11+3927.4i
2.9104e-11-8.3095e+05i,2.9104e-11+8.3095e+05i,-4.3656e-11-6.2855e+05i,-4.3656e-11+6.2855e+05i,-1.4552e-11-1.9774e+05i,-1.4552e-11+1.9774e+05i,7.276e-12-1.3312e+05i,7.276e-12+1.3312e+05i,1.4552e-11-76653i,1.4552e-11+76653i,-8.1855e-12-32386i,-8.1855e-12+32386i,-2.0464e-12-16047i,-2.0464e-12+16047i,-6.3665e-12-3483i,-6.3665e-12+3483i
2.5466e-11-1.196e+06i,2.5466e-11+1.196e+06i,0-6.2632e+05i,0+6.2632e+05i,-1.0914e-11-2.1074e+05i,-1.0914e-11+2.1074e+05i,-1.4552e-11-1.2446e+05i,-1.4552e-11+1.2446e+05i,1.1823e-11-68004i,1.1823e-11+68004i,4.0927e-12-28693i,4.0927e-12+28693i,-4.5475e-13-9305.2i,-4.5475e-13+9305.2i,-2.1657e-11-1334.6i,-2.1657e-11+1334.6i
-2.1828e-11-1.0756e+06i,-2.1828e-11+1.0756e+06i,1.9099e-11-6.3942e+05i,1.9099e-11+6.3942e+05i,-7.276e-12-1.9687e+05i,-7.276e-12+1.9687e+05i,-1.3642e-12-1.1882e+05i,-1.3642e-12+1.1882e+05i,4.5475e-12-74473i,4.5475e-12+74473i,8.1855e-12-31373i,8.1855e-12+31373i,0-14350i,0+14350i,-1.944e-11-2128.1i,-1.944e-11+2128.1i
